customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Female,0,Yes,Yes,42,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),102.43,7136.83,Yes
CUST00002,Female,0,Yes,Yes,61,No,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),69.7,2068.9,No
CUST00003,Female,0,No,No,60,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Two year,Yes,Credit card (automatic),80.14,2959.98,Yes
CUST00004,Female,0,Yes,Yes,63,No,No,DSL,Yes,Yes,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),81.3,5529.06,Yes
CUST00005,Male,1,No,Yes,23,Yes,No,No,Yes,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,100.4,1496.39,No
CUST00006,Male,0,Yes,Yes,63,No,No phone service,DSL,No internet service,No,No internet service,No,Yes,No,Two year,No,Mailed check,90.18,81.13,No
CUST00007,Female,0,Yes,Yes,60,No,No,No,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),105.97,3772.39,No
CUST00008,Male,1,Yes,Yes,66,Yes,Yes,DSL,Yes,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.36,3945.73,No
CUST00009,Male,0,Yes,Yes,16,No,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),51.35,2959.78,Yes
CUST00010,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,No,One year,No,Credit card (automatic),113.45,5651.54,No
CUST00011,Male,0,Yes,No,68,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.46,6032.03,No
CUST00012,Male,0,Yes,Yes,38,No,No,No,Yes,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),23.95,7682.03,No
CUST00013,Male,1,No,No,70,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Credit card (automatic),58.47,5984.58,No
CUST00014,Male,0,No,No,40,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Credit card (automatic),24.11,4837.26,No
CUST00015,Female,0,Yes,Yes,31,No,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),28.67,4384.11,No
CUST00016,Female,0,Yes,No,6,Yes,No,DSL,Yes,Yes,No,No,No,No internet service,Two year,Yes,Mailed check,117.91,8520.38,Yes
CUST00017,Female,0,No,No,57,No,No,Fiber optic,No internet service,Yes,No,Yes,No,No,Two year,Yes,Electronic check,117.93,7631.59,No
CUST00018,Female,0,Yes,No,35,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),61.56,1862.38,No
CUST00019,Male,0,Yes,Yes,39,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,No,Two year,No,Mailed check,97.79,7932.54,Yes
CUST00020,Male,0,No,Yes,18,No,No phone service,DSL,No,Yes,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),26.64,4132.67,Yes
CUST00021,Male,0,No,Yes,20,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),31.39,2405.62,No
CUST00022,Female,0,No,Yes,42,No,No,Fiber optic,No,No,No internet service,Yes,No internet service,No,Two year,No,Mailed check,61.71,8174.13,No
CUST00023,Male,0,Yes,Yes,31,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,39.0,3088.0,No
CUST00024,Male,1,Yes,No,19,No,No,No,Yes,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Credit card (automatic),83.67,151.89,No
CUST00025,Male,0,Yes,Yes,18,No,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),86.42,7935.76,No
CUST00026,Male,0,Yes,No,7,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,38.56,900.76,Yes
CUST00027,Female,0,Yes,Yes,58,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Mailed check,114.96,5172.56,No
CUST00028,Male,0,No,No,53,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,71.97,7439.02,No
CUST00029,Female,0,Yes,No,49,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),104.75,4711.2,Yes
CUST00030,Female,0,Yes,Yes,49,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),63.85,5706.79,No
CUST00031,Male,0,No,No,68,No,Yes,DSL,No internet service,No,Yes,Yes,No,No internet service,Two year,Yes,Electronic check,41.0,115.64,No
CUST00032,Male,0,No,Yes,28,No,Yes,DSL,No internet service,Yes,Yes,Yes,No,No internet service,One year,Yes,Electronic check,101.17,428.55,Yes
CUST00033,Female,0,No,Yes,5,No,Yes,DSL,Yes,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,21.03,7160.45,Yes
CUST00034,Female,0,No,Yes,36,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No,Two year,No,Electronic check,29.57,8276.62,No
CUST00035,Female,0,Yes,No,40,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,One year,No,Credit card (automatic),116.06,893.18,No
CUST00036,Female,0,Yes,No,8,Yes,No,DSL,No,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),92.02,3440.48,No
CUST00037,Male,0,Yes,Yes,56,No,Yes,No,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),59.67,7281.96,No
CUST00038,Female,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Credit card (automatic),98.79,237.51,No
CUST00039,Female,0,No,No,54,No,Yes,No,No internet service,Yes,No internet service,No internet service,No,Yes,One year,No,Mailed check,53.61,1049.87,No
CUST00040,Female,0,Yes,No,39,No,No,DSL,No,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,19.5,1540.24,No
CUST00041,Male,0,No,No,69,Yes,No phone service,No,No,No,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),111.25,7526.9,Yes
CUST00042,Male,0,Yes,No,55,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No,No,One year,Yes,Credit card (automatic),39.98,4117.12,No
CUST00043,Male,1,No,No,1,No,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),118.28,1107.29,No
CUST00044,Male,1,Yes,Yes,6,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),71.6,6565.05,Yes
CUST00045,Male,0,No,Yes,7,No,No phone service,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),91.13,8277.8,Yes
CUST00046,Male,0,No,No,8,Yes,No,No,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),102.07,6137.05,No
CUST00047,Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),89.55,7132.77,Yes
CUST00048,Male,0,Yes,No,63,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,105.13,8129.14,No
CUST00049,Male,0,No,No,23,No,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,One year,Yes,Credit card (automatic),21.31,970.09,No
CUST00050,Male,1,No,No,7,Yes,No phone service,DSL,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,69.62,3777.48,No
CUST00051,Female,1,Yes,No,58,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),66.63,4497.18,No
CUST00052,Female,0,Yes,No,49,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.34,5988.76,No
CUST00053,Female,0,No,No,56,Yes,No,No,No internet service,Yes,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),75.96,2747.27,No
CUST00054,Female,0,No,No,37,No,No phone service,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,No,Electronic check,38.28,1596.25,Yes
CUST00055,Male,0,No,Yes,54,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,One year,Yes,Electronic check,114.83,6966.07,No
CUST00056,Male,1,No,Yes,14,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,No,No,One year,No,Credit card (automatic),43.99,508.16,No
CUST00057,Male,0,No,Yes,25,No,No phone service,No,No internet service,Yes,No internet service,Yes,No internet service,No,One year,Yes,Mailed check,106.7,8166.99,No
CUST00058,Female,0,No,Yes,57,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),47.91,7453.28,Yes
CUST00059,Male,1,No,No,63,Yes,Yes,DSL,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,19.42,8131.48,No
CUST00060,Female,0,No,Yes,48,Yes,Yes,DSL,No,No,No internet service,No internet service,No,Yes,Two year,No,Credit card (automatic),68.45,2487.27,No
